overall_pick,year,team,player,former,college,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists
21,2003,Washington Mystics,Zuzana Zirkova,Slovakia,,1,6,0.1,0.162,5,1.8,0.3,0.2
22,2003,Seattle Storm,Suzy Batkovic-Brown,Valenciennes (France),,2,49,1.4,0.091,12.4,5,2.5,0.6
23,2003,Charlotte Sting,Dana Cherry,,Arkansas,0,,,,,,,
24,2003,New York Liberty,Sonja Mallory,,Georgia Tech,1,6,0,-0.035,7.3,1.7,1.7,0
25,2003,San Antonio Silver Stars,Ke-Ke Tardy,,LSU,0,,,,,,,
26,2003,New York Liberty,K.B. Sharp,,Cincinnati,6,178,1.9,0.034,12.2,2.4,0.9,1.2
27,2003,Los Angeles Sparks,Schuye LaRue,,Virginia,0,,,,,,,
28,2003,Detroit Shock,Syreeta Bromfield,,Michigan State,0,,,,,,,
29,2003,Minnesota Lynx,Carla Bennett,,Drake University,0,,,,,,,
30,2003,Cleveland Rockers,Shaquala Williams,,Oregon,1,25,0.3,0.06,9.2,2,1.3,0.8
31,2003,Phoenix Mercury,Telisha Quarles,,Virginia,0,,,,,,,
32,2003,Washington Mystics,Trish Juhline,,Villanova,0,,,,,,,
33,2003,Phoenix Mercury,Marion Jones,,UNC,2,47,0.1,0.01,8.6,2.6,1.3,0.5
34,2003,Connecticut Sun,Lindsey Wilson,,Iowa State,0,,,,,,,
35,2003,Indiana Fever,Ashley McElhiney,,Vanderbilt,0,,,,,,,
36,2003,Washington Mystics,Tamara Bowie,,Ball State University,0,,,,,,,
37,2003,Seattle Storm,Chrissy Floyd,,Clemson,0,,,,,,,
38,2003,Houston Comets,Constance Jinks,,UNLV,0,,,,,,,
39,2003,New York Liberty,Nicole Kaczmarski,,UCLA,0,,,,,,,
40,2003,San Antonio Silver Stars,Brooke Armistead,,Austin Peay State University,0,,,,,,,
41,2003,Houston Comets,Oxana Rakhmatulina,Russia,,0,,,,,,,
42,2003,Los Angeles Sparks,Mary Jo Noon,,Purdue,0,,,,,,,
1,2002,Seattle Storm,Sue Bird,,UConn,19,580,61.6,0.136,31.2,11.7,2.5,5.6
2,2002,Detroit Shock,Swin Cash,,UConn,15,479,35.6,0.106,28.1,10.7,5.3,2.4
3,2002,Washington Mystics,Stacey Dales,,Oklahoma,5,150,6.3,0.065,25.9,9.2,2.2,2.7
4,2002,Washington Mystics,Asjha Jones,,UConn,12,368,21,0.093,24.5,10.9,4.8,1.7
5,2002,Portland Fire,Nikki Teasley,,UNC,7,207,15.4,0.104,28.5,8.2,3,4.7
6,2002,Minnesota Lynx,Tamika Williams,,UConn,7,219,13.8,0.109,23.2,6.1,5.1,1
7,2002,Charlotte Sting,Sheila Lambert,,Baylor,4,76,-0.2,-0.006,15,4.2,1.5,1.7
8,2002,Cleveland Rockers,Deanna Jackson,,UAB,5,142,4.9,0.079,17.7,5.8,2.6,1
9,2002,Charlotte Sting,Shaunzinski Gortman,,South Carolina,4,77,0.4,0.019,11.1,2.6,1.9,0.7
10,2002,Houston Comets,Michelle Snow,,Tennessee,13,402,31.5,0.133,23.6,8.4,6.2,1.1
11,2002,Utah Starzz,Danielle Crockrom,,Baylor,1,18,0.1,0.058,4.7,1.6,0.7,0.1
12,2002,Sacramento Monarchs,Hamchetou Maiga-Ba,,Old Dominion,9,275,5.7,0.05,16.5,5.3,2.4,1.1
13,2002,Indiana Fever,Tawana McDonald,,Georgia,0,,,,,,,
14,2002,Utah Starzz,LaNeishea Caufield,,Oklahoma,1,8,0,0.029,8.1,2.4,0.6,0.1
15,2002,Miami Sol,Tamara Moore,,Wisconsin,6,145,4.8,0.085,15.7,4.4,1.7,1.8
16,2002,Los Angeles Sparks,Rosalind Ross,,Oklahoma,0,,,,,,,
17,2002,Indiana Fever,Zuzi Klimesova,,Vanderbilt,2,12,-0.2,-0.144,3.5,0.6,0.4,0.2
18,2002,Detroit Shock,Lenae Williams,,DePaul,1,27,-0.6,-0.138,6.6,2.7,0.7,0.1
19,2002,Seattle Storm,Lucienne Berthieu,,Old Dominion,3,43,1,0.113,8.2,3,1.7,0.2
20,2002,Detroit Shock,Ayana Walker,,Louisiana Tech,6,132,2,0.052,11.6,2.7,2.4,0.4
21,2002,Detroit Shock,Jill Chapman-Daily,,Indiana,1,19,-0.1,-0.028,6.3,1.2,1.4,0
22,2002,Detroit Shock,Kathy Wambe,Belgium,,0,,,,,,,
23,2002,Orlando Miracle,Davalyn Cunningham,,Rutgers University,1,6,-0.1,-0.259,3.5,0,0.3,0
24,2002,Cleveland Rockers,Brandi McCain,,Florida,1,31,-0.3,-0.032,12.6,2.7,0.8,1.3
25,2002,Phoenix Mercury,Tootie Shaw,,Wichita State,0,,,,,,,
26,2002,New York Liberty,Linda Frohlich,,UNLV,4,72,0.6,0.047,7,2.3,1.3,0.4
27,2002,Utah Starzz,Andrea Gardner,,Howard University,2,52,0.4,0.045,7.2,2.2,2.1,0.2
28,2002,Seattle Storm,Felicia Ragland,,Oregon State,4,72,1.9,0.074,13.8,3.7,1.6,0.9
29,2002,Miami Sol,Lindsey Yamasaki,,Stanford,2,39,0.1,0.01,7.6,1.7,0.7,0.5
30,2002,Los Angeles Sparks,Gergana Slavtcheva,,Florida International University,1,2,-0.1,-0.292,6,0,0,0.5
31,2002,Cleveland Rockers,Angie Welle,,Iowa State,0,,,,,,,
32,2002,Los Angeles Sparks,Jackie Higgins,,UNC,0,,,,,,,
33,2002,Washington Mystics,LaNisha Cartwell,,Alabama,0,,,,,,,
34,2002,Indiana Fever,Kelly Komara,,Purdue,0,,,,,,,
35,2002,Seattle Storm,Takeisha Lewis,,Louisiana Tech,1,14,0.2,0.106,4.1,1.3,1.7,0.2
36,2002,Washington Mystics,Teresa Geter,,South Carolina,0,,,,,,,
37,2002,Portland Fire,Mandy Nightingale,,Colorado,0,,,,,,,
38,2002,Minnesota Lynx,Lindsey Meder,,Iowa,0,,,,,,,
39,2002,Orlando Miracle,Saundra Jackson,,Ole Miss,0,,,,,,,
40,2002,Phoenix Mercury,Kayte Christensen,,UC Santa Barbara,6,143,3,0.061,13.6,3.2,2.6,0.5
41,2002,Charlotte Sting,Edniesha Curry,,Oregon,2,33,0.1,0.009,9.6,1.7,0.7,1.1
42,2002,Houston Comets,Shondra Johnson,,Alabama,0,,,,,,,
43,2002,Utah Starzz,Edmarie Lumbsley,,Mobile University,0,,,,,,,
44,2002,Sacramento Monarchs,Alayne Ingram,,Michigan,0,,,,,,,
45,2002,Miami Sol,Jerica Watson,,Iowa,0,,,,,,,
46,2002,New York Liberty,Tracy Gahan,,Iowa State,0,,,,,,,
47,2002,Detroit Shock,Ericka Haney,,Notre Dame,0,,,,,,,
48,2002,Los Angeles Sparks,Rashana Barnes,,Penn State,0,,,,,,,
49,2002,Indiana Fever,LaKeisha Taylor,,Arizona,0,,,,,,,
50,2002,Portland Fire,Melody Johnson,,Arizona State,0,,,,,,,
51,2002,Sacramento Monarchs,Jermisha Dosty,,Saint Mary's,0,,,,,,,
52,2002,Indiana Fever,Jillian Danker,,Vanderbilt,0,,,,,,,
53,2002,Portland Fire,Monique Cardenas,,Florida,0,,,,,,,
54,2002,Minnesota Lynx,Sharron Francis,,Old Dominion,0,,,,,,,
55,2002,Orlando Miracle,Tomeka Brown,,Ohio State,0,,,,,,,
56,2002,Phoenix Mercury,Amba Kongolo,,NC Central,0,,,,,,,
57,2002,Charlotte Sting,Jessie Stomski,,Wisconsin,0,,,,,,,
58,2002,Houston Comets,Cori Enghusen,,Stanford,0,,,,,,,
59,2002,Utah Starzz,Jacklyn Winfield,,Southern University and A&M College,0,,,,,,,
60,2002,Sacramento Monarchs,Elizabeth Pickney,,Arizona,0,,,,,,,
61,2002,Miami Sol,Jerkisha Dosty,,Saint Mary's,0,,,,,,,
62,2002,New York Liberty,Deedee Warley,,Maryland,0,,,,,,,
63,2002,Cleveland Rockers,Marche Strickland,,Maryland,0,,,,,,,
64,2002,Los Angeles Sparks,Tiffany Thompson,,Old Dominion,0,,,,,,,
1,2001,Seattle Storm,Lauren Jackson,Canberra Capitals (Australia),,12,317,73,0.288,32,18.9,7.7,1.4
2,2001,Charlotte Sting,Kelly Miller,,Georgia,12,364,15.6,0.074,23.2,7.1,2.8,2.6
3,2001,Indiana Fever,Tamika Catchings,,Tennessee,15,457,93.7,0.26,31.5,16.1,7.3,3.3
4,2001,Portland Fire,Jackie Stiles,,,2,53,2.7,0.077,26.5,11.4,1.8,1.4
5,2001,Miami Sol,Ruth Riley,,Notre Dame,13,387,17.2,0.08,22.2,6.3,4.1,1.2
6,2001,Detroit Shock,Deanna Nolan,,Georgia,9,293,31.3,0.137,31.3,13.6,3.8,3.2
7,2001,Minnesota Lynx,Svetlana Abrosimova,,UConn,10,263,9.6,0.061,24.2,9.2,4.1,2.1
8,2001,Utah Starzz,Marie Ferdinand-Harris,,LSU,10,305,14.7,0.08,24.2,9.8,2.7,1.7
9,2001,Washington Mystics,Coco Miller,,Georgia,12,352,9,0.057,18.1,5.8,2.1,1.4
10,2001,Orlando Miracle,Katie Douglas,,Purdue,14,412,48.9,0.155,30.7,13.5,3.8,2.6
11,2001,Cleveland Rockers,Penny Taylor,Dandenong Rangers (Australia),,13,355,49,0.206,26.8,13,4.4,3
12,2001,Portland Fire,LaQuanda Barksdale,,UNC,3,48,-0.2,-0.018,10.2,3.4,1.6,0.4
13,2001,Phoenix Mercury,Kristen Veal,Australia,,2,52,-1.7,-0.066,19.6,3.6,1.7,3.2
14,2001,Indiana Fever,Kelly Schumacher,,UConn,9,222,5.7,0.065,15.8,4.9,3.1,0.5
15,2001,Houston Comets,Amanda Lassiter,,Missouri,6,190,4.1,0.044,19.4,4.8,2.7,1.4
16,2001,Los Angeles Sparks,Camille Cooper,,Purdue,2,27,0.4,0.083,6.3,2,1,0.1
17,2001,Seattle Storm,Semeka Randall,,Tennessee,4,123,-0.9,-0.015,18.5,5.8,2.5,1
18,2001,Charlotte Sting,Tammy Sutton-Brown,,Rutgers University,12,388,32.9,0.137,24.7,9,5.2,0.6
19,2001,Indiana Fever,Niele Ivey,,Notre Dame,5,131,3.5,0.064,17,3.1,1.1,1.7
20,2001,Portland Fire,Jenny Mowe,,Oregon,3,11,-0.1,-0.081,4.9,0.6,0.5,0
21,2001,Miami Sol,Georgia Schweitzer,,Duke,3,70,1.8,0.067,15,3.2,1.7,1.1
22,2001,Detroit Shock,Jae Kingi-Cross,Australia,,3,65,1.4,0.065,13.6,3.3,1.3,1.5
23,2001,Minnesota Lynx,Erin Perperoglou,,Master's College,8,218,11.3,0.112,18.4,5.7,3.1,1.2
24,2001,Utah Starzz,Michaela Pavlickova,,Denver,2,18,0,-0.032,2.8,0.4,0.6,0.1
25,2001,Washington Mystics,Tamara Stocks,,Florida,1,3,0,0.049,3.7,1,0.7,0
26,2001,Orlando Miracle,Brooke Wyckoff,,Florida State,8,242,4.5,0.04,18.6,3.1,3.1,1.3
27,2001,Cleveland Rockers,Jaynetta Saunders,,Texas A&M,2,56,-0.1,-0.01,9.9,3,1.4,0.5
28,2001,Minnesota Lynx,Janell Burse,,Tulane,8,233,11.9,0.111,18.5,6.8,4.1,0.5
29,2001,Phoenix Mercury,Ilona Korstine,Russia,,1,12,-0.2,-0.104,6.3,1.8,0.9,0.4
30,2001,Sacramento Monarchs,Jackie Moore,,Cal State Long Beach,1,18,0,-0.006,7.1,2.3,1.6,0.2
31,2001,Houston Comets,Tynesha Lewis,,NC State,6,143,2.4,0.051,13.1,4,1.5,0.9
32,2001,Los Angeles Sparks,Nicole Levandusky,,Xavier,1,13,0.2,0.111,5.2,1.5,0.7,0.5
33,2001,Houston Comets,ShaRae Mansfield,,Western Kentucky,0,,,,,,,
34,2001,Charlotte Sting,Jennifer Phillips,,Xavier,0,,,,,,,
35,2001,Indiana Fever,Marlena Williams,,Missouri,0,,,,,,,
36,2001,Portland Fire,Rasheeda Clark,,Pepperdine,0,,,,,,,
37,2001,Miami Sol,Levys Torres,,Florida State,1,2,-0.1,-0.44,4,0,0,0
38,2001,Detroit Shock,Svetlana Volnaya,,Virginia,0,,,,,,,
39,2001,Minnesota Lynx,Tombi Bell,,Florida,0,,,,,,,
40,2001,Utah Starzz,Shea Ralph,,UConn,0,,,,,,,
41,2001,Washington Mystics,Jamie Lewis,,Ohio State,0,,,,,,,
42,2001,Orlando Miracle,Jaclyn Johnson,,Kansas,1,17,0.1,0.02,8.2,2.1,1.4,0.5
43,2001,Cleveland Rockers,Angelina Wolvert,,Oregon,1,1,0,0.031,5,2,1,0
44,2001,Washington Mystics,Elena Karpova,Russia,,0,,,,,,,
45,2001,Phoenix Mercury,Tere Williams,,Virginia Tech,0,,,,,,,
46,2001,Sacramento Monarchs,Maren Walseth,,Penn State,2,22,-0.3,-0.114,5.1,0.8,1,0.3
47,2001,Houston Comets,Shala Crawford,,Life University,0,,,,,,,
48,2001,Los Angeles Sparks,Kelley Siemon,,Notre Dame,0,,,,,,,
49,2001,Seattle Storm,Juana Brown,,UNC,0,,,,,,,
50,2001,Charlotte Sting,Reshea Bristol,,Arizona,1,1,0,-0.391,5,0,2,0
51,2001,Indiana Fever,April Brown,,LSU,0,,,,,,,
52,2001,Portland Fire,Natasha Pointer,,Rutgers University,0,,,,,,,
53,2001,Phoenix Mercury,Carolyn Moos,,Stanford,1,2,0,-0.154,3,0,0,0
54,2001,Detroit Shock,Kelly Santos,Brazil,,3,48,0.4,0.037,9.5,3,1.8,0.4
55,2001,Minnesota Lynx,Megan Taylor,,Iowa State,0,,,,,,,
56,2001,Utah Starzz,Cara Consuegra,,Iowa,1,15,-0.4,-0.28,3.3,0.1,0.4,0.7
57,2001,New York Liberty,Taru Tuukkanen,,Xavier,0,,,,,,,
58,2001,Orlando Miracle,Anne Thorius,,Michigan,0,,,,,,,
59,2001,Cleveland Rockers,Erin Batth,,Clemson,0,,,,,,,
60,2001,New York Liberty,Tara Mitchem,,,0,,,,,,,
