overall_pick,year,team,player,former,college,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists
58,2000,Indiana Fever,Renee Robinson,,Virginia,1,2,0.1,0.463,2.5,2,0,0
59,2000,Charlotte Sting,Shaka Massey,,Louisiana Tech,0,,,,,,,
60,2000,Detroit Shock,Cal Bouchard,,Boston College,0,,,,,,,
61,2000,New York Liberty,Natalie Porter,Australia,,0,,,,,,,
62,2000,Sacramento Monarchs,Jessica Zinobile,,Saint Francis University,0,,,,,,,
63,2000,Los Angeles Sparks,Nicky McCrimmon,,USC,4,125,3.1,0.084,11.9,2.3,0.8,1.7
64,2000,Houston Comets,Abbie Willenborg,,Marquette,0,,,,,,,
1,1999,Washington Mystics,Chamique Holdsclaw,,Tennessee,11,279,33.2,0.145,32.9,16.9,7.6,2.5
2,1999,Sacramento Monarchs,Yolanda Griffith,Chicago Condors (ABL),Florida Atlantic University,11,311,59.4,0.265,28.8,13.6,7.9,1.5
3,1999,Utah Starzz,Natalie Williams,Portland Power (ABL),UCLA,7,221,29.3,0.171,31.1,13.1,8.3,1.4
4,1999,Los Angeles Sparks,DeLisha Milton-Jones,Portland Power (ABL),Florida,17,499,37.4,0.104,28.8,11.2,5.2,1.8
5,1999,Detroit Shock,Jennifer Azzi,San Jose Lasers (ABL),Stanford,5,141,14.4,0.118,34.7,9.1,2.6,4.5
6,1999,New York Liberty,Crystal Robinson,Colorado Xplosion (ABL),Southeastern Oklahoma State University,9,245,26.4,0.143,30.1,10.2,2.7,2
7,1999,Minnesota Lynx,Tonya Edwards,Columbus Quest (ABL),Tennessee,4,125,5,0.071,22.7,9,2.3,1.7
8,1999,Orlando Miracle,Tari Phillips,Colorado Xplosion (ABL),Central Florida,9,232,12.3,0.093,23,9.2,5.5,0.9
9,1999,Charlotte Sting,Dawn Staley,Philadelphia Rage (ABL),Virginia,8,263,17.7,0.083,32.5,8.5,2,5.1
10,1999,Phoenix Mercury,Edna Campbell,Colorado Xplosion (ABL),Texas,7,161,3.6,0.041,21.3,7.1,1.7,1.4
11,1999,Cleveland Rockers,Chasity Melvin,Philadelphia Rage (ABL),NC State,12,393,33.9,0.129,26.6,9.7,5.4,1.3
12,1999,Houston Comets,Natalia Zasulskaya,Russia,,0,,,,,,,
13,1999,Washington Mystics,Shalonda Enis,Seattle Reign (ABL),Alabama,5,106,5.8,0.094,23.2,7.7,4.2,0.8
14,1999,Sacramento Monarchs,Kedra Holland-Corn,San Jose Lasers (ABL),Georgia,7,223,13.1,0.095,24.9,8.7,2.1,1.9
15,1999,Utah Starzz,Debbie Black,Colorado Xplosion (ABL),Saint Joseph's,6,193,10.6,0.096,22.8,3.9,2.8,3.2
16,1999,Los Angeles Sparks,Clarisse Machanguana,San Jose Lasers (ABL),Old Dominion,4,118,4.5,0.109,14.2,4.1,2.6,0.5
17,1999,Detroit Shock,Val Whiting-Raymond,Seattle Reign (ABL),Stanford,3,63,1.3,0.04,20.3,4.8,4.7,1.1
18,1999,New York Liberty,Michele Van Gorp,,Duke,6,132,0.5,0.012,11.4,3.2,2.1,0.4
19,1999,Minnesota Lynx,Trisha Fallon,Australia,,2,57,2.6,0.093,19.7,7,1.7,1
20,1999,Orlando Miracle,Sheri Sam,San Jose Lasers (ABL),Vanderbilt,10,328,20.4,0.088,28.3,10.2,4.1,2.3
21,1999,Charlotte Sting,Stephanie White,,Purdue,5,142,6.7,0.098,19.2,5.9,1.6,2
22,1999,Phoenix Mercury,Clarissa Davis-Wrightsil,San Jose Lasers (ABL),Texas,1,14,0.7,0.106,18.5,9.3,2.7,1.4
23,1999,Cleveland Rockers,Mery Andrade,,Old Dominion,5,140,4.7,0.068,19.9,4.2,2.1,2.1
24,1999,Houston Comets,Sonja Henning,Portland Power (ABL),Stanford,5,151,4,0.043,24.5,3.2,2.3,2.3
25,1999,Washington Mystics,Andrea Nagy,Philadelphia Rage (ABL),Florida International University,4,102,0.3,0.005,22.2,3.2,1.8,3.5
26,1999,Sacramento Monarchs,Kate Starbird,Seattle Reign (ABL),Stanford,5,112,1.5,0.048,11.2,3.3,1.1,0.8
27,1999,Utah Starzz,Adrienne Goodson,Chicago Condors (ABL),Old Dominion,7,221,12.1,0.075,29.2,12.2,5.1,2
28,1999,Los Angeles Sparks,Ukari Figgs,,Purdue,5,151,11.8,0.122,25.7,6.5,2.3,3.1
29,1999,Detroit Shock,Dominique Canty,,Alabama,14,380,11.9,0.052,24,7.3,2.5,2.8
30,1999,New York Liberty,Tamika Whitmore,,Memphis,11,350,20.4,0.095,24.4,9.6,3.9,1
31,1999,Minnesota Lynx,Andrea Lloyd-Curry,Columbus Quest (ABL),Texas,2,46,2,0.066,26.8,6.3,3.9,2.5
32,1999,Orlando Miracle,Taj McWilliams-Franklin,Philadelphia Rage (ABL),St. Edward's University,14,440,53.9,0.159,30.8,11.4,6.8,2
33,1999,Charlotte Sting,Charlotte Smith,San Jose Lasers (ABL),UNC,8,237,7.8,0.056,23.6,6,3.4,1.5
34,1999,Phoenix Mercury,Lisa Harrison,Columbus Quest (ABL),Tennessee,6,187,10,0.088,24.2,6,3.6,1.2
35,1999,Cleveland Rockers,Tracy Henderson,Nashville Noise (ABL),Georgia,3,61,-0.9,-0.068,8.6,1.8,2.1,0.2
36,1999,Houston Comets,Kara Wolters,New England Blizzard (ABL),UConn,4,86,3.8,0.118,15,6.5,3.2,0.7
37,1999,Washington Mystics,Jennifer Whittle,Australia,,2,7,-0.4,-0.416,5.4,0,0.6,0
38,1999,Sacramento Monarchs,Amy Herrig,,Iowa,3,85,1.1,0.043,12.4,3.3,2.3,0.4
39,1999,Utah Starzz,Dalma Ivanyi,,Florida International University,5,106,-1.2,-0.031,14,2.1,1.5,1.8
40,1999,Los Angeles Sparks,La'Keshia Frett,Philadelphia Rage (ABL),Georgia,7,201,4.2,0.06,13.7,4,1.9,0.8
41,1999,Detroit Shock,Astou Ndiaye-Diatta,Seattle Reign (ABL),Southern Nazarene University,8,163,4.3,0.052,20.4,7.6,4.2,1
42,1999,New York Liberty,Carolyn Young,New England Blizzard (ABL),Auburn,2,42,0.4,0.035,11.1,4.6,1.1,0.6
43,1999,Minnesota Lynx,Sonja Tate,Columbus Quest (ABL),Arkansas State University,2,40,1.1,0.048,23.1,4.3,3.5,2.6
44,1999,Orlando Miracle,Carla McGhee,Columbus Quest (ABL),Tennessee,4,81,-0.3,-0.016,8.9,1.9,1.5,0.4
45,1999,Charlotte Sting,Angie Braziel,,Texas Tech,3,52,0.7,0.049,11.3,3.9,2.3,0.3
46,1999,Phoenix Mercury,Amanda Wilson,,Louisiana Tech,2,15,0.1,0.093,2.9,0.9,0.5,0.2
47,1999,Cleveland Rockers,Kellie Jolly Harper,,Tennessee,1,1,-0.1,-0.716,4,0,0,1
48,1999,Houston Comets,Jennifer Rizzotti,New England Blizzard (ABL),UConn,5,148,4.1,0.07,16,3.1,1.4,1.8
49,1999,Minnesota Lynx,Angie Potthoff,Columbus Quest (ABL),Penn State,2,35,0.1,0.008,20.5,3.6,2.5,1.1
50,1999,Orlando Miracle,Elaine Powell,Portland Power (ABL),LSU,10,265,10.2,0.071,21.7,5.7,2.5,2.8
1,1998,Utah Starzz,Margo Dydek,Poland,,11,323,26.8,0.136,24.4,10,6.6,1.6
2,1998,Sacramento Monarchs,Ticha Penicheiro,,Old Dominion,15,454,27.4,0.086,28.2,6.1,3.3,5.7
3,1998,Washington Mystics,Murriel Page,,Florida,11,354,15.4,0.073,23.9,6.1,4.5,1.2
4,1998,Detroit Shock,Korie Hlede,,Duquesne,5,133,5.8,0.076,22.9,8.9,2.8,2.1
5,1998,Los Angeles Sparks,Allison Feaster,,Harvard University,10,284,18.2,0.115,22.2,8,2.4,1.4
6,1998,Cleveland Rockers,Cindy Blodgett,,University of Maine,4,65,0.1,0.012,6.5,2.5,0.5,0.4
7,1998,Charlotte Sting,Tracy Reid,,UNC,6,116,3.3,0.054,21.1,7.5,3.4,1
8,1998,Phoenix Mercury,Maria Stepanova,Russia,,5,114,8.5,0.164,18.2,7.6,4.7,0.9
9,1998,New York Liberty,Alicia Thompson,,Texas Tech,6,143,3.8,0.072,14.9,5.3,2.5,0.7
10,1998,Houston Comets,Polina Tzekova,Bulgaria,,1,32,1.9,0.099,24.3,6.1,5.1,1
11,1998,Utah Starzz,Olympia Scott,,Stanford,10,219,3.2,0.036,16,4.7,3.2,0.8
12,1998,Sacramento Monarchs,Tangela Smith,,Iowa,15,463,27.8,0.087,27.5,10.9,5,1.2
13,1998,Washington Mystics,Rita Williams,,UConn,6,186,6.9,0.069,21.7,6.4,2,2.2
14,1998,Detroit Shock,Rachael Sporn,Australia,,3,71,1.9,0.066,16.1,4,3.1,1.1
15,1998,Los Angeles Sparks,Octavia Blue,,Miami (FL),3,59,0,0.001,8.9,2.1,1.2,0.3
16,1998,Cleveland Rockers,Suzie McConnell Serio,,Penn State,3,78,3.2,0.062,26.9,6.7,2,4.8
17,1998,Charlotte Sting,Christy Smith,,Arkansas,2,28,0.5,0.04,16.7,3.6,1.3,2.6
18,1998,Phoenix Mercury,Andrea Kuklova,Slovakia,,2,34,-0.1,-0.008,10.4,2.9,1.1,0.9
19,1998,New York Liberty,Nadine Domond,,Iowa,1,9,-0.1,-0.048,10.2,3,1,1
20,1998,Houston Comets,Nyree Roberts,,Old Dominion,2,26,0.2,0.047,5.2,1.3,0.8,0.1
21,1998,Utah Starzz,LaTonya Johnson,,Memphis,7,179,-0.9,-0.014,14,3.8,1.3,0.7
22,1998,Sacramento Monarchs,Quacy Barnes,,Indiana,4,70,-0.8,-0.032,14.8,4.2,1.8,0.7
23,1998,Washington Mystics,Angie Hamblin,,Iowa,1,6,-0.2,-0.259,4.8,1,1.2,0.3
24,1998,Detroit Shock,Gergana Branzova,,Florida International University,1,26,0.1,0.022,7.8,2.7,1.6,0.3
25,1998,Los Angeles Sparks,Rehema Stephens,,UCLA,1,8,-0.5,-0.25,10.1,3.3,1.3,0.5
26,1998,Cleveland Rockers,Tanja Kostic,,Oregon State,2,10,-0.2,-0.108,7.6,1.2,0.7,0.6
27,1998,Charlotte Sting,Pollyanna Johns Kimbrough,,Michigan,6,134,4.5,0.103,12.9,3.2,2.5,0.5
28,1998,Phoenix Mercury,Brandy Reed,,Southern Miss,5,87,11.1,0.203,25.3,13.5,4.9,2
29,1998,New York Liberty,Albena Branzova,,Florida International University,1,11,-0.1,-0.042,8.5,2.1,1.5,0.5
30,1998,Houston Comets,Amaya Valdemoro,Spain,,3,55,0.8,0.1,5.9,2.3,0.8,0.5
31,1998,Utah Starzz,Tricia Bader Binford,,Boise State,5,100,-0.5,-0.028,7.6,1.4,0.5,0.8
32,1998,Sacramento Monarchs,Adia Barnes,,Arizona,7,132,2.4,0.047,15.3,3.8,2.6,0.9
33,1998,Washington Mystics,Angela Jackson,,Texas,1,7,0.1,0.132,5.1,1.4,0.6,0
34,1998,Detroit Shock,Sandy Brondello,Australia,,5,155,12.4,0.108,29.6,11.4,1.9,2.3
35,1998,Los Angeles Sparks,Erika Keinast,,UC Santa Barbara,0,,,,,,,
36,1998,Cleveland Rockers,Tammye Jenkins,,Georgia,0,,,,,,,
37,1998,Charlotte Sting,Sonia Chase,,Maryland,2,36,0.2,0.036,6.2,1.3,0.5,0.5
38,1998,Phoenix Mercury,Karen Wilkins,,Howard University,0,,,,,,,
39,1998,New York Liberty,Vanessa Nygaard,,Stanford,5,107,4.3,0.098,16.2,4.6,2.3,0.5
40,1998,Houston Comets,Monica Lamb,,USC,3,46,3.8,0.185,17.9,4.3,3.8,0.3
1,1997,Houston Comets,Tina Thompson,,USC,17,496,60.7,0.151,32.4,15.1,6.2,1.6
2,1997,Sacramento Monarchs,Pamela McGee,,USC,2,57,2,0.064,22.1,8.6,4.6,0.6
3,1997,Los Angeles Sparks,Jamila Wideman,,Stanford,4,84,-1.3,-0.037,16.6,2.2,1.4,2.5
4,1997,Cleveland Rockers,Eva Nemcova,Bourges (France),,5,111,10.4,0.122,30.6,11.7,3.5,1.9
5,1997,Utah Starzz,Tammi Reiss,,Virginia,2,50,-0.1,-0.002,26.2,7.2,2.3,2.7
6,1997,New York Liberty,Sue Wicks,,Rutgers University,6,182,7.2,0.084,18.8,4.5,4.3,1
7,1997,Charlotte Sting,Tora Suber,,Virginia,3,83,1.4,0.046,15.3,4,1.3,1.8
8,1997,Phoenix Mercury,Toni Foster,,Iowa,3,54,4.9,0.195,18.4,6.5,3.9,0.9
9,1997,Phoenix Mercury,Tia Jackson,,Iowa,1,26,0.5,0.063,12.3,2.8,2.2,1
10,1997,Charlotte Sting,Sharon Manning,,NC State,4,114,5.2,0.108,17,4.7,4.2,0.7
11,1997,New York Liberty,Sophia Witherspoon,,Florida,7,207,13.9,0.115,23.5,10.7,2.2,1.5
12,1997,Utah Starzz,Jessie Hicks,,Maryland,6,169,2.2,0.044,11.7,4.2,2.1,0.5
13,1997,Cleveland Rockers,Merlakia Jones,,Florida,8,251,14.3,0.09,25.3,9.4,3.7,1.4
14,1997,Los Angeles Sparks,Tamecka Dixon,,Kansas,13,360,22.5,0.095,26.3,9.7,2.9,2.7
15,1997,Sacramento Monarchs,Denique Graves,,Howard University,1,22,-0.6,-0.287,3.9,0.7,0.7,0
16,1997,Houston Comets,Tammy Jackson,,Florida,6,143,4.4,0.09,13.6,2.8,2.8,0.4
17,1997,Houston Comets,Racquel Spurlock,,Louisiana Tech,0,,,,,,,
18,1997,Sacramento Monarchs,Chantel Tremitiere,,Auburn,4,101,-0.8,-0.014,22.5,4.3,2.2,3.1
19,1997,Los Angeles Sparks,Katrina Colleton,,Maryland,4,104,0.7,0.013,21,4.9,1.7,1.4
20,1997,Cleveland Rockers,Tina Nicholson,,Penn State,1,24,0.1,0.01,11.4,2,0.4,1.8
21,1997,Utah Starzz,Raegan Scott,,Colorado,2,30,0.3,0.053,7,1.7,1.2,0.3
22,1997,New York Liberty,Trena Trice,,NC State,2,38,1,0.098,11,4.1,2.3,0.1
23,1997,Charlotte Sting,Debra Williams,,Louisiana Tech,1,10,-0.2,-0.062,11.6,2.7,1.3,0.9
24,1997,Phoenix Mercury,Umeki Webb,,NC State,3,71,3.9,0.086,25.6,4.8,3.5,2.5
25,1997,Phoenix Mercury,Monique Ambers,,Arizona State,2,21,0.1,0.035,4.2,0.7,1,0.2
26,1997,Charlotte Sting,Andrea Congreaves,,Mercer University,3,84,6.5,0.142,21.9,6,3.6,1.3
27,1997,New York Liberty,Kisha Ford,,Georgia Tech,5,124,3.2,0.07,14.6,3.5,1.8,0.7
28,1997,Utah Starzz,Kim Williams,,DePaul,2,58,0.3,0.01,19.8,7.8,2.4,1.8
29,1997,Cleveland Rockers,Anita Maxwell,,New Mexico State,1,9,-0.1,-0.036,7,2.1,1.3,0.9
30,1997,Los Angeles Sparks,Travesa Gant,,Lamar,1,2,-0.1,-0.247,6.5,0,1.5,0
31,1997,Sacramento Monarchs,Tajama Abraham,,George Washington,2,40,-0.8,-0.07,11.7,3.5,1.9,0.3
32,1997,Houston Comets,Catarina Pollini,,Texas,1,13,0,0.005,7.2,1.7,0.9,0.4
